,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"discussion of MMIWG movement (1,0)","specifc case (1, 0)","multiple cases (1, 0)","coverage of legal protection or policy (1,0)","News article (1,0)","video/audio (1,0)","national (1,0)","regional (1,0)","local (1,0)","family or friends of victim referenced (1, 0)","details on victim life (1, 0)","details on perpetrator (1, 0)",# of govt officials referenced,# of ordinary people referenced,# of experts referenced ,# of id male,# of id female,# of gender unID
EDEN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Ruth,,Idaho Press,2023,We are not heard': Indigenous women look for answers in high missing persons rate ,"Nampa, Canyon County, ID",Idaho,Access World News,"November 5, 2023",14,Newspaper,https://drive.google.com/file/d/1MGAbSw4g41u4bhmr7qzyUiLlWoqL8lmC/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Kuipers,Anthony,,Idaho Press,2023,Idaho students start database for Indigenous victims ,"Nampa, Canyon County, ID","Moscow, Latah County, ID",Access World News,"April, 26, 2023",3,Newspaper,https://drive.google.com/file/d/1OX28UT5bMyf0Ytp79RCX26DF1TqAmf5S/view?usp=share_link,1,1,0,1,0,,,,,,0,0,1,,,,,,
Neale,April,,Idaho Press,2022,"Treature Valley TV Talk: Producer/director - Oliver Bokelberg talks ABC series, 'Alaska Daily'","Nampa, Canyon County, ID","Alaska, National",Access World News,"November 13, 2022",4,Newspaper,https://drive.google.com/file/d/1pC7ZMGtXF-b9r5zcKQzQ5EX1yHLW-dFs/view?usp=share_link,1,0,1,1,1,,,,,,1,0,0,,,,,,
Moseley-Morris,Kelcie,,Idaho Press,2021,Boise State report says 75% of missing - Indigenous people in Idaho are women,"Nampa, Canyon County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"October 30, 2021",1,Newspaper,https://drive.google.com/file/d/1gy-vIriW9HK9yWc17YzbY8-Pt4E2HzAX/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
N/A,N/A,,Idaho Press,2020,Enabling justice for missing and murdered indigenous women ,"Nampa, Canyon County, ID",National,Access World News,"July 15, 2020",6,Newspaper,https://drive.google.com/file/d/16OeqORggLwJqEpHCtGXFulzkZtlyMK_t/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Spacek,Rachel,,Idaho Press,2020,"State, tribal officials aim to learn more about missing and murdered indigenous people - Another summit planned for April in North Idaho ","Nampa, Canyon County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"February 23, 2020",3,Newspaper,https://drive.google.com/file/d/1RUFmjh2yGhDUQgErKeijXmxJJku2qrwz/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Holm,Kelly,,Idaho Press,2025,Getting to know Angeline Boulley ,"Nampa, Canyon County, ID",National,Access World News,"March 8, 2025",C2,Newspaper-Image Edition,https://drive.google.com/file/d/1MpaxC9pPi6ilTPV-BxfgFlt8n66jS9ac/view?usp=share_link,1,0,0,1,1,,,,,,0,1,0,,,,,,
N/A,N/A,,Idaho Press,2024,"Fancy Dance' balances heartbreak, humor in story of missing Indigenous woman","Nampa, Canyon County, ID","Los Angeles, Los Angeles County, CA",Access World News,"June 20, 2024",A2,Newspaper-Image Edition,https://drive.google.com/file/d/1by9d17ZBR7GWMPMPzY27ihEdNiB3rlYw/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Brown,Ruth,,Idaho Press,2023,We are not heard': Indigenous women look for answers in high missing persons rate ,"Nampa, Canyon County, ID",Idaho,Access World News,"November 5, 2023","A14,15",Newspaper-Image Edition,https://drive.google.com/file/d/1srk840NLCPiyK1LI0YHsplufw_RJ5rjh/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
