,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
ISABELLA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLER,BRUCE R.,,"Albany Democrat-Herald (OR)
",2022,Hilary Swank stars in drama that uplifts journalism,"Albany, Linn County, OR",Alaska State,Access World News,October 22,N/A,Newspaper,https://drive.google.com/file/d/1gSDokIsDDllFgaP_Uc46bOkr0hRijsvO/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
HENSHAW,MELANIE ,,Albany Democrat-Herald (OR),2025,Bill would allow Oregon Tribes to formally petition for removal of state control,"Albany, Linn County, OR",Oregon State,Access World News,March 26,N/A,Newspaper,https://drive.google.com/file/d/1h2egBSgIqsLgnl2oe5Rmd9rTF0mR8yGL/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Moss,Gennifer ,Linda Lewis,"Ashland Tidings, The (OR)",2010,Letters to the Editor,"Ashland, Jackson County, (OR)","Ashland, Jackson County, (OR)",Access World News,February 26,N/A,Newspaper,https://drive.google.com/file/d/1QM4ERZMsIppue12aNk6yL9HUBD3bURbu/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
Associated Press State Wire: Oregon (OR),Associated Press State Wire: Oregon (OR),,Associated Press State Wire: Oregon (OR),2023,Washington creates missing Indigenous people cold case unit  (Also in WA version),Oregon State,"Yakima County, WA-  Washington State- National. ",Access World News (NewsBank),April 28,N/A,Newswire,https://drive.google.com/file/d/1MWVu9lun-flhIXfNTwTTqHuX7yX-quKj/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
 FLACCUS,GILLIAN,,Associated Press State Wire: Oregon (OR),2022,"California tribe confronts crisis of missing, murdered women",Oregon State,"YUROK RESERVATION, California- California State- Oregon State",Access World News,February 21,N/A,Newswire,https://drive.google.com/file/d/1XRR9u87Jt2U6qIwnClabnfKBOlEfgVZJ/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
BROWNSTONE,SYDNEY ,,Associated Press State Wire: Oregon (OR),2020,Seattle treatment center closing doors after 30 years,Oregon State,"Seattle, King County, WA",Access World News,January 25,N/A,Newswire,https://drive.google.com/file/d/18mofUhj3vcVwsqypSenaN8kGap7dJCLZ/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
SEWELL,CYNTHIA ,,Associated Press State Wire: Oregon (OR),2019,"Scope of missing, murdered indigenous women in Idaho unknown",Oregon State,"BOISE, Boise County, Idaho- New Mexico- National ",Access World News,December 21,N/A,Newswire,https://drive.google.com/file/d/1D7jb-7lI3YN3u2Oz_6figgoNcnPjWY4C/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
 COHEN AP, SHARON,,Associated Press State Wire: Oregon (OR),2018,#NotInvisible: Why are Native American women vanishing?,Oregon State,U.S National- Canada- Montana ,Access World News,September 6,N/A,Newswire,https://drive.google.com/file/d/1j024rxP3tPzDjotQT34wA9CLNfCA4_EX/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
COHEN AP,SHARON ,,Associated Press State Wire: Oregon (OR),2018,Lawmakers seek answers for why Native American women vanish (Seems to be a duplicate of the source above with a different title) ,Oregon State,U.S National- Canada- Montana ,Access World News,September 5,N/A,Newswire,https://drive.google.com/file/d/1RDJ-xCnFi_MvLeB3G8iiUfAQL_xZTncx/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Gallup ,Lauren ,,"Astorian, The (Astoria, OR)",2023,Washington state to form cold case unit focused on missing Indigenous women - At least 113 missing statewide,"Astoria, OR",Washington State,Access World News,April 25,N/A,Newspaper,https://drive.google.com/file/d/1LTZbPIomqQgyG7YiF_ZyTa3XHxxyear_/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
Goodell ,Emily,,"Astorian, The (Astoria, OR)",2019,My sister didn't deserve this' - Native women at risk of violence,"Astoria, OR","Yakima County, WA-  Washington State- National. ",Access World News,September 3,003 Section A,Newspaper,https://drive.google.com/file/d/1e93FBmJ4lAgDr37nXeYUmzlf-1-ajyXb/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,
LaMora,Nick,,Beaverton Valley Times (OR),2025,Second Pacific University Powwow to honor missing and murdered Indigenous people,"Beaverton, Washington County, OR ","Beaverton, Washington County, OR ",Access World News,April 30,N/A,Newspaper,https://drive.google.com/file/d/1rRk8aonPO_zidtMug7RGZyIf1uL2nZxa/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMILY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
