Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national",Date of Publication,Volume,Issue No.,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),Word Count,Presence of a Photo (1=y 0=n),MMIWG mentioned (1=y 0=n),evidence,"discussion of MMIWG movement (1,0)",evidence,"specifc case (1, 0)",evidence,"multiple cases (1, 0)",evidence,"coverage of legal protection or policy (1,0)",evidence,"News article (1,0)","video/audio (1,0)","national (1,0)","regional (1,0)","local (1,0)","family or friends of victim referenced (1, 0)",evidence,"details on victim life (1, 0)",evidence,"details on perpetrator (1, 0)",evidence,# of govt officials referenced,# of ordinary people referenced,# of experts referenced ,# of id male,# of id female,# of gender unID
UNDERSCORE NATIVE NEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reyna,Luna,,Underscore Native News,2025,Colville Artist Creating Safe Space Through Ink on National Tattoo Day,"Portland, Multnomah, OR","Spokane, Spokane, WA; Nelson, BC, Canada; WA; Eastern WA; Colville Indian Reservation",17-Jul,,,N/A,Web-Only Source,https://drive.google.com/file/d/1CeJzl53rCWRTMbxVxB9wMS_pLl2xcmb0/view?usp=drive_link,,,1,TRIGGER WARNING: This story contains material regarding missing and murdered Indigenous peoples,1,"As a tattoo artist Pakootas has tattooed the red hand print on a client: a powerful symbol, signifying the silencing of Indigenous people through the high rates ofviolence, murder and trafficking.",1,Pakootas feels a need to spread awareness about the MMIWG epidemic since she lost her auntie Maria Sanchez in 2013.,1,"In 2021, 46 of the 108 missing Indigenous people in Washington were from eastern Washington (where Spokane is located and Pakootas resides now), according to the Urban Indian Health Institute, YWCA Spokane and Washington State Patrol",0,,,,,,,1,Pakootas feels a need to spread awareness about the MMIWG epidemic since she lost her auntie Maria Sanchez in 2013,0,,0,,,,,,,
Bartoo-Smith,Nika,,Underscore Native News,2025,Release the Pain We Carry:' Scenes from MMIR Day of Awareness and Action,"Portland, Multnomah, OR","Portland, Multnomah, OR; National; OR",7-May,,,N/A,Web-Only Source,https://drive.google.com/file/d/1HSACqhZVx0oxC2RGZL_xjg4udAbLr4Bs/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henshaw,Melanie,,Underscore Native News,2025,Oregon Bill Could Empower Tribes to Remove State Control,"Portland, Multnomah, OR",OR; Umatilla Reservation; Confederated Tribes of Warm Springs Indian Reservation,27-Mar,,,N/A,Web-Only Source,https://drive.google.com/file/d/1b6-cM7GJ_fs4nL_1JKYIyOfivNhzq9WU/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartoo-Smith,Nika,Karina Brown ,Underscore Native News,2024,Oregon Governor Tina Kotek Outlines Commitments to Native Nations,"Portland, Multnomah, OR",OR; Klamath Reservation; WA; Confederated Tribes of Umatilla Indian Reservation,26-Aug,,,N/A,Web-Only Source,https://drive.google.com/file/d/1TzUlc-tSn2H9xxXtJleScg-lL6Vg6MYx/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reyna,Luna,,Underscore Native News,2024,Secrecy and Data Issues Impede Progress on Missing and Murdered Indigenous People,"Portland, Multnomah, OR","OR; National; Confederated Tribes of Umatilla Indian Reservation; Portland, Multnomah, OR; CA; HI; ID; MT; WA",23-Aug,,,N/A,Web-Only Source,https://drive.google.com/file/d/1DZzn9MgjkUwIMNcsoz2gv1iwnzl-mRVa/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reyna,Luna,,Underscore Native News,2024,A Yaqui Woman's Disappearance in Portland Exposed Policing Flaws in MMIP Cases,"Portland, Multnomah, OR","Portland, Multnomah, OR; National, AK",21-Aug,,,N/A,Web-Only Source,https://drive.google.com/file/d/1fER0E9OVMdqluN88T9IKbdFzAFO5ETnn/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henshaw,Melanie,,Underscore Native News,2024,Four-Year-Old Oregon Report Identifies Missing Native American Women As An 'Emergency' — But Progress Has Been Limited,"Portland, Multnomah, OR","Central WA; La Grande, Union, OR; National; OR; Confederated Tribes of Umatilla Reservation; Confederated Tribes of Warm Springs Reservation; Burns Paiute Reservation; Eugene, Lane, OR; Corvallis, Benton, OR, Portland, Multnomah, OR; WA",17-Jun,,,N/A,Web-Only Source,https://drive.google.com/file/d/1AW2Y_UPLqBZ4Oz8fI0bmuzVlo9PxXEnM/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Karina,,Underscore Native News,2024,"Feds Shrug Off Responsibility for BIA Officer Who Raped Woman Under Threat of Arrest - A Bureau of Indian Affairs police officer pleaded guilty in a criminal case arising from his rape of a woman who had called for his help. At a hearing Monday in a related lawsuit, the government claimed it bears no responsibility for his actions.","Portland, Multnomah, OR","Portland, Multnomah, OR; MT; OR; Warm Springs Reservation, Umatilla Indian Reservation, Burns Paiute Reservation; Chemawa Indian School; Lame Deer, Rosebud, MT; Northern Cheyenne Reservation; National",5-Jun,,,N/A,Web-Only Source,https://drive.google.com/file/d/1w8yX_Uvz0F6y6WpZ2BssPNMSeWKnfn8f/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turner,Kelsey,,Underscore Native News,2024,"Washington AG's Office and Local Police Intensify Search for Missing Indigenous Teen - The teen's disappearance is among the first cases taken by Washington state's new cold case unit, launched by the attorney general's office to investigate cases of Missing and Murdered Indigenous Relatives","Portland, Multnomah, OR","Omak, Okanogan, WA; Colville Indian Reservation; BC, Canada; WA; Yakima, Yakima, WA",23-Mar,,,N/A,Web-Only Source,https://drive.google.com/file/d/1UKNI2GYsMkP3y74eAnCn0_-vNF4Dl8mV/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
