Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
ISABELLA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macdonald,Moira ,,The Seattle Times,2024,Film focuses on missing Indigenous women,"Seattle, King County, WA","National- Seattle, King County, WA. - Texas State- Tulalip Reservation, Snohomish County, WA- ",Access World News ,24-Nov-24,N/A,Newspaper,https://drive.google.com/file/d/1yE06pnkbSr8hDkZFCXzM9Yq2VBAUBcfj/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Yoon-Hendricks,Alexandra ,,The Seattle Times,2023,Cold case unit launched for missing and murdered Indigenous people,"Seattle, King County, WA","Washington State- Yakima, Yakima County, WA",Access World News ,24-Apr,N/A,Newspaper,https://drive.google.com/file/d/18VpIyJn837jpr0Nha-8FMedR2wkOlpsO/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Radoc Cabahug,Jadenne,, The Seattle Times,2023,Bills would further address MMIW crisis,"Seattle, King County, WA","Yakima, Yakima County, WA - Washington State ",Access World News ,24-Jan,N/A,Newspaper,https://drive.google.com/file/d/1bBgsyECrvfpiQPDD88UmIvLwbfUyzhr3/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
The Seattle Times editorial board,Editorial Board ,,The Seattle Times,2022,justice for missing and murdered Indigenous people,"Seattle, King County, WA","Washington State, National ",Access World News ,9-Aug,N/A,Newspaper,https://drive.google.com/file/d/1wDfy4dAjzwHwU-_kVqLlsnEKblVjncHg/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Yoon-Hendricks,Alexandra ,,The Seattle Times,2022,Cold case unit urged for missing Indigenous people,"Seattle, King County, WA",Washington State,Access World News ,2-Aug,N/A,Newspaper,https://drive.google.com/file/d/1uvpqI1yXWuYmsgvZXUyORN82_9dZ-Dru/view?usp=drive_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
 Zhou,Amanda,,The Seattle Times,2022,Alert system for missing Indigenous people begins,"Seattle, King County, WA",Washington State,Access World News ,2-Jul,N/A,Newspaper,https://drive.google.com/file/d/1y-qsPQV4lwPCwavCFpCrWo7mokONp8ub/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
FLACCUS,GILLIAN ,TED S. WARREN; The Associated Press,The Seattle Times,2022,Gov. Inslee signs into law first-of-its-kind statewide missing Indigenous people alert,"Seattle, King County, WA",Washington State,Access World News ,1-Apr,N/A,Newspaper,https://drive.google.com/file/d/1SKqciinmiOVWCG1L2vFa49SOVxfB45vl/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Kahla,Sarah,,The Seattle Times,2022,House bills target crisis of missing Indigenous people,"Seattle, King County, WA",Washington State,Access World News ,17-Jan,N/A,Newspaper,https://drive.google.com/file/d/1sYcS-yEfW9g559KR6tHQj2wcahlIlu0R/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
 The Seattle Times editorial board, The Seattle Times editorial board,,The Seattle Times,2021,Justice delayed for murdered and missing Indigenous women,"Seattle, King County, WA",Washington State,Access World News ,10-Nov,N/A,Newspaper,https://drive.google.com/file/d/1wDfy4dAjzwHwU-_kVqLlsnEKblVjncHg/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
